white_player,Ding Liren
black_player,D. Gukesh
result,0-1
move,white,black
1,Nf3,d5
2,g3,c5
3,Bg2,Nc6
4,d4,e6
5,O-O,cd4
6,Nd4,Nge7
7,c4,Nd4
8,Qd4,Nc6
9,Qd1,d4
10,e3,Bc5
11,ed4,Bd4
12,Nc3,O-O
13,Nb5,Bb6
14,b3,a6
15,Nc3,Bd4
16,Bb2,e5
17,Qd2,Be6
18,Nd5,b5
19,cb5,ab5
20,Nf4,ef4
21,Bc6,Bb2
22,Qb2,Rb8
23,Rfd1,Qb6
24,Bf3,fg3
25,hg3,b4
26,a4,ba3
27,Ra3,g6
28,Qd4,Qb5
29,b4,Qb4
30,Qb4,Rb4
31,Ra8,Ra8
32,Ba8,g5
33,Bd5,Bf5
34,Rc1,Kg7
35,Rc7,Bg6
36,Rc4,Rb1+
37,Kg2,Re1
38,Rb4,h5
39,Ra4,Re5
40,Bf3,Kh6
41,Kg1,Re6
42,Rc4,g4
43,Bd5,Rd6
44,Bb7,Kg5
45,f3,f5
46,fg4,hg4
47,Rb4,Bf7
48,Kf2,Rd2+
49,Kg1,Kf6
50,Rb6+,Kg5
51,Rb4,Be6
52,Ra4,Rb2
53,Ba8,Kf6
54,Rf4,Ke5
55,Rf2,Rf2
56,Kf2,Bd5
57,Bd5,Kd5
58,Ke3,Ke5
